ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
90,10,Feed,2025-04-17 21:30:00,,,Breast Milk,Bottle,78ml,
89,10,Sleep,2025-04-17 22:00:00,2025-04-18 01:15:00,195,,,,
88,10,Pump,2025-04-18 00:50:00,2025-04-18 01:00:00,10,47ml,,68ml,
87,10,Diaper,2025-04-18 01:17:00,,,,,Pee:large,
86,10,Feed,2025-04-18 01:30:00,,,Breast Milk,Bottle,80ml,
85,10,Sleep,2025-04-18 01:44:00,2025-04-18 05:14:00,210,,,,
84,10,Pump,2025-04-18 05:08:00,2025-04-18 05:18:00,10,50ml,,75ml,
83,10,Diaper,2025-04-18 05:22:00,,,,,Poo:medium,
82,10,Feed,2025-04-18 05:25:00,,,Breast Milk,Bottle,60ml,
81,10,Sleep,2025-04-18 05:57:00,2025-04-18 08:32:00,155,,,,
80,10,Feed,2025-04-18 08:35:00,,,Breast Milk,Bottle,60ml,
79,10,Sleep,2025-04-18 09:00:00,2025-04-18 12:10:00,190,,,,
78,10,Pump,2025-04-18 09:08:00,2025-04-18 09:18:00,10,40ml,,70ml,
77,10,Diaper,2025-04-18 09:45:00,,,,,"Both, pee:medium poo:medium",
76,10,Pump,2025-04-18 12:15:00,2025-04-18 12:25:00,10,60ml,,75ml,
75,10,Feed,2025-04-18 12:20:00,,,Breast Milk,Bottle,60ml,
74,10,Diaper,2025-04-18 13:30:00,,,,,"Both, pee:medium poo:small",
73,10,Diaper,2025-04-18 13:55:00,,,,,Poo:small,
72,10,Sleep,2025-04-18 13:58:00,2025-04-18 14:35:00,37,,,,
71,10,Feed,2025-04-18 14:40:00,,,Breast Milk,Bottle,60ml,
70,10,Sleep,2025-04-18 14:55:00,2025-04-18 18:35:00,220,,,,
69,10,Pump,2025-04-18 16:22:00,2025-04-18 16:32:00,10,50ml,,63ml,
68,10,Feed,2025-04-18 18:40:00,,,Breast Milk,Bottle,70ml,
67,10,Sleep,2025-04-18 19:00:00,2025-04-18 20:50:00,110,,,,
66,10,Pump,2025-04-18 20:50:00,2025-04-18 21:00:00,10,45ml,,75ml,
65,10,Feed,2025-04-18 21:02:00,,,Breast Milk,Bottle,80ml,
64,10,Sleep,2025-04-18 21:23:00,2025-04-19 01:23:00,239,,,,
63,10,Pump,2025-04-19 00:55:00,2025-04-19 01:04:00,9,30ml,,50ml,
62,10,Feed,2025-04-19 01:30:00,,,Breast Milk,Bottle,80ml,
61,10,Diaper,2025-04-19 01:42:00,,,,,"Both, pee:medium poo:medium",
60,10,Sleep,2025-04-19 01:57:00,2025-04-19 05:11:00,194,,,,
59,10,Pump,2025-04-19 04:55:00,2025-04-19 05:05:00,10,48ml,,78ml,
58,10,Feed,2025-04-19 05:14:00,,,Breast Milk,Bottle,60ml,
57,10,Sleep,2025-04-19 05:40:00,2025-04-19 08:03:00,143,,,,
56,10,Diaper,2025-04-19 08:03:00,,,,,"Both, pee:medium poo:small",
55,10,Feed,2025-04-19 08:10:00,,,Breast Milk,Bottle,60ml,
54,10,Diaper,2025-04-19 08:34:00,,,,,Poo:medium,
53,10,Sleep,2025-04-19 09:40:00,2025-04-19 10:35:00,55,,,,
52,10,Pump,2025-04-19 10:30:00,2025-04-19 10:40:00,10,60ml,,90ml,
51,10,Feed,2025-04-19 10:40:00,,,Breast Milk,Bottle,78ml,
50,10,Sleep,2025-04-19 10:57:00,2025-04-19 13:40:00,163,,,,
49,10,Feed,2025-04-19 13:45:00,,,Breast Milk,Bottle,60ml,
48,10,Sleep,2025-04-19 14:00:00,2025-04-19 15:45:00,105,,,,
46,10,Pump,2025-04-19 15:45:00,2025-04-19 15:55:00,10,60ml,,75ml,
47,10,Diaper,2025-04-19 15:45:00,,,,,"Both, pee:medium poo:medium",
45,10,Feed,2025-04-19 16:05:00,,,Breast Milk,Bottle,65ml,
44,10,Sleep,2025-04-19 17:05:00,2025-04-19 18:30:00,84,,,,
43,10,Diaper,2025-04-19 17:40:00,,,,,"Both, pee:large poo:medium",
42,10,Feed,2025-04-19 18:32:00,,,Breast Milk,Bottle,85ml,
41,10,Sleep,2025-04-19 19:00:00,2025-04-19 21:45:00,165,,,,
40,10,Pump,2025-04-19 19:40:00,2025-04-19 19:51:00,11,40ml,,70ml,
39,10,Diaper,2025-04-19 20:30:00,,,,,"Both, pee:medium poo:small",
38,10,Pump,2025-04-19 21:45:00,2025-04-19 21:52:00,7,30ml,,48ml,
37,10,Feed,2025-04-19 21:50:00,,,Breast Milk,Bottle,80ml,
36,10,Sleep,2025-04-19 22:10:00,2025-04-20 01:33:00,202,,,,
35,10,Diaper,2025-04-20 01:35:00,,,,,Pee:medium,
34,10,Feed,2025-04-20 01:43:00,,,Breast Milk,Bottle,78ml,
33,10,Pump,2025-04-20 01:45:00,2025-04-20 01:55:00,10,33ml,,62ml,
32,10,Diaper,2025-04-20 02:04:00,,,,,Poo:medium,
